eval,T,current_cost,best_cost,accepted
3065,5.370767260239571e-05,587.0,587.0,0
3066,5.343913423938373e-05,587.0,587.0,0
3067,5.317193856818681e-05,587.0,587.0,0
3068,5.2906078875345875e-05,587.0,587.0,0
3069,5.2641548480969145e-05,587.0,587.0,0
3070,5.23783407385643e-05,587.0,587.0,0
3071,5.211644903487148e-05,587.0,587.0,0
3072,5.1855866789697124e-05,587.0,587.0,0
3073,5.1596587455748636e-05,587.0,587.0,0
3074,5.133860451846989e-05,587.0,587.0,0
3075,5.108191149587754e-05,587.0,587.0,0
3076,5.082650193839816e-05,587.0,587.0,0
3077,5.057236942870617e-05,587.0,587.0,0
3078,5.031950758156264e-05,587.0,587.0,0
3079,5.006791004365483e-05,587.0,587.0,0
3080,4.981757049343655e-05,587.0,587.0,0
3081,4.956848264096937e-05,587.0,587.0,0
3082,4.932064022776452e-05,587.0,587.0,0
3083,4.90740370266257e-05,587.0,587.0,0
3084,4.8828666841492575e-05,587.0,587.0,0
3085,4.858452350728511e-05,587.0,587.0,0
3086,4.834160088974868e-05,587.0,587.0,0
3087,4.809989288529994e-05,587.0,587.0,0
3088,4.785939342087344e-05,587.0,587.0,0
3089,4.762009645376907e-05,587.0,587.0,0
3090,4.7381995971500225e-05,587.0,587.0,0
3091,4.7145085991642724e-05,587.0,587.0,0
3092,4.690936056168451e-05,587.0,587.0,0
3093,4.667481375887609e-05,587.0,587.0,0
3094,4.6441439690081705e-05,587.0,587.0,0
3095,4.62092324916313e-05,587.0,587.0,0
3096,4.597818632917314e-05,587.0,587.0,0
3097,4.574829539752727e-05,587.0,587.0,0
3098,4.5519553920539634e-05,587.0,587.0,0
3099,4.529195615093693e-05,587.0,587.0,0
3100,4.506549637018225e-05,587.0,587.0,0
3101,4.484016888833134e-05,587.0,587.0,0
3102,4.461596804388968e-05,587.0,587.0,0
3103,4.439288820367024e-05,587.0,587.0,0
3104,4.417092376265189e-05,587.0,587.0,0
3105,4.395006914383863e-05,587.0,587.0,0
3106,4.373031879811944e-05,587.0,587.0,0
3107,4.351166720412884e-05,587.0,587.0,0
3108,4.3294108868108196e-05,587.0,587.0,0
3109,4.307763832376766e-05,587.0,587.0,0
3110,4.2862250132148816e-05,587.0,587.0,0
3111,4.264793888148807e-05,587.0,587.0,0
3112,4.243469918708063e-05,587.0,587.0,0
3113,4.222252569114523e-05,587.0,587.0,0
3114,4.20114130626895e-05,587.0,587.0,0
3115,4.180135599737606e-05,587.0,587.0,0
3116,4.1592349217389175e-05,587.0,587.0,0
3117,4.138438747130223e-05,587.0,587.0,0
3118,4.117746553394572e-05,587.0,587.0,0
3119,4.097157820627599e-05,587.0,587.0,0
3120,4.076672031524461e-05,587.0,587.0,0
3121,4.056288671366838e-05,587.0,587.0,0
3122,4.0360072280100037e-05,587.0,587.0,0
3123,4.0158271918699536e-05,587.0,587.0,0
3124,3.9957480559106035e-05,587.0,587.0,0
3125,3.9757693156310506e-05,587.0,587.0,0
3126,3.9558904690528956e-05,587.0,587.0,0
3127,3.936111016707631e-05,587.0,587.0,0
3128,3.916430461624093e-05,587.0,587.0,0
3129,3.8968483093159724e-05,587.0,587.0,0
3130,3.8773640677693924e-05,587.0,587.0,0
3131,3.857977247430545e-05,587.0,587.0,0
3132,3.838687361193393e-05,587.0,587.0,0
3133,3.819493924387426e-05,587.0,587.0,0
3134,3.800396454765489e-05,587.0,587.0,0
3135,3.7813944724916615e-05,587.0,587.0,0
3136,3.7624875001292035e-05,587.0,587.0,0
3137,3.7436750626285574e-05,587.0,587.0,0
3138,3.7249566873154146e-05,587.0,587.0,0
3139,3.7063319038788376e-05,587.0,587.0,0
3140,3.6878002443594435e-05,587.0,587.0,0
3141,3.669361243137646e-05,587.0,587.0,0
3142,3.6510144369219576e-05,587.0,587.0,0
3143,3.632759364737348e-05,587.0,587.0,0
3144,3.614595567913661e-05,587.0,587.0,0
3145,3.596522590074093e-05,587.0,587.0,0
3146,3.578539977123722e-05,587.0,587.0,0
3147,3.5606472772381035e-05,587.0,587.0,0
3148,3.542844040851913e-05,587.0,587.0,0
3149,3.525129820647653e-05,587.0,587.0,0
3150,3.507504171544415e-05,587.0,587.0,0
3151,3.489966650686693e-05,587.0,587.0,0
3152,3.472516817433259e-05,587.0,587.0,0
3153,3.4551542333460924e-05,587.0,587.0,0
3154,3.437878462179362e-05,587.0,587.0,0
3155,3.420689069868465e-05,587.0,587.0,0
3156,3.403585624519123e-05,587.0,587.0,0
3157,3.3865676963965274e-05,587.0,587.0,0
3158,3.3696348579145445e-05,587.0,587.0,0
3159,3.352786683624972e-05,587.0,587.0,0
3160,3.3360227502068466e-05,587.0,587.0,0
3161,3.3193426364558126e-05,587.0,587.0,0
3162,3.3027459232735336e-05,587.0,587.0,0
3163,3.286232193657166e-05,587.0,587.0,0
3164,3.2698010326888796e-05,587.0,587.0,0
3165,3.2534520275254354e-05,587.0,587.0,0
3166,3.2371847673878084e-05,587.0,587.0,0
3167,3.220998843550869e-05,587.0,587.0,0
3168,3.2048938493331146e-05,587.0,587.0,0
3169,3.188869380086449e-05,587.0,587.0,0
3170,3.172925033186017e-05,587.0,587.0,0
3171,3.1570604080200864e-05,587.0,587.0,0
3172,3.141275105979986e-05,587.0,587.0,0
3173,3.125568730450086e-05,587.0,587.0,0
3174,3.1099408867978355e-05,587.0,587.0,0
3175,3.0943911823638463e-05,587.0,587.0,0
3176,3.078919226452027e-05,587.0,587.0,0
3177,3.0635246303197666e-05,587.0,587.0,0
3178,3.0482070071681676e-05,587.0,587.0,0
